antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,Cluster,cluster_size,abs_count
"frozenset({'Location (name)_Canada', 'Season (name)_Spring'})","frozenset({'Gender (name)_Male', 'Item Purchased (name)_Shoes'})",0.03575482406356413,0.16004540295119182,0.034619750283768444,0.9682539682539683,6.049870539232241,1.0,0.028897355059066352,26.45856980703746,0.8656586806125107,0.2147887323943662,0.9622050622050622,0.5922830124957784,1,1762,61
"frozenset({'Location (name)_Canada', 'Season (name)_Spring'})","frozenset({'Gender (name)_Male', 'Frequency of Purchases (name)_Every 3 Months', 'Item Purchased (name)_Shoes'})",0.03575482406356413,0.12429057888762769,0.03348467650397276,0.9365079365079365,7.534826411538741,1.0,0.029040688723087092,13.792423382519864,0.899442343951078,0.2645739910313902,0.9274964252281167,0.6029571646010002,1,1762,59
"frozenset({'Location (name)_Canada', 'Frequency of Purchases (name)_Every 3 Months', 'Season (name)_Spring'})","frozenset({'Gender (name)_Male', 'Item Purchased (name)_Shoes'})",0.0340522133938706,0.16004540295119182,0.03348467650397276,0.9833333333333333,6.144089834515366,1.0,0.028034776289970767,50.397275822928336,0.8667569559242366,0.20848056537102475,0.9801576576576576,0.5962765957446808,1,1762,59
"frozenset({'Gender (name)_Male', 'Location (name)_Canada', 'Season (name)_Spring'})","frozenset({'Item Purchased (name)_Shoes', 'Frequency of Purchases (name)_Every 3 Months'})",0.03518728717366629,0.15550510783200908,0.03348467650397276,0.9516129032258065,6.119496114904639,1.0,0.02801287361771591,17.452894438138493,0.867098703888335,0.21299638989169672,0.9427029136316337,0.5834706851895456,1,1762,59
"frozenset({'Promo Code Used (name)_Yes', 'Location (name)_Kenya'})","frozenset({'Gender (name)_Male', 'Item Purchased (name)_Jacket', 'Frequency of Purchases (name)_Every 3 Months', 'Discount Applied (name)_Yes', 'Purchase Intent Category (name)_Impulsive', 'Season (name)_Winter'})",0.03338278931750742,0.05637982195845697,0.030415430267062313,0.9111111111111111,16.160233918128654,1.0,0.028533314548864566,10.615727002967358,0.9705183160810886,0.5125000000000001,0.9058001397624039,0.7252923976608188,4,1348,41
"frozenset({'Promo Code Used (name)_Yes', 'Location (name)_Kenya'})","frozenset({'Gender (name)_Male', 'Item Purchased (name)_Jacket', 'Frequency of Purchases (name)_Every 3 Months', 'Purchase Intent Category (name)_Impulsive', 'Season (name)_Winter'})",0.03338278931750742,0.05637982195845697,0.030415430267062313,0.9111111111111111,16.160233918128654,1.0,0.028533314548864566,10.615727002967358,0.9705183160810886,0.5125000000000001,0.9058001397624039,0.7252923976608188,4,1348,41
"frozenset({'Location (name)_Kenya', 'Discount Applied (name)_Yes'})","frozenset({'Item Purchased (name)_Jacket', 'Promo Code Used (name)_Yes', 'Frequency of Purchases (name)_Every 3 Months', 'Purchase Intent Category (name)_Impulsive'})",0.03338278931750742,0.05637982195845697,0.030415430267062313,0.9111111111111111,16.160233918128654,1.0,0.028533314548864566,10.615727002967358,0.9705183160810886,0.5125000000000001,0.9058001397624039,0.7252923976608188,4,1348,41
"frozenset({'Promo Code Used (name)_Yes', 'Location (name)_Kenya'})","frozenset({'Item Purchased (name)_Jacket', 'Discount Applied (name)_Yes', 'Purchase Intent Category (name)_Impulsive'})",0.03338278931750742,0.05637982195845697,0.030415430267062313,0.9111111111111111,16.160233918128654,1.0,0.028533314548864566,10.615727002967358,0.9705183160810886,0.5125000000000001,0.9058001397624039,0.7252923976608188,4,1348,41
"frozenset({'Location (name)_Kenya', 'Discount Applied (name)_Yes'})","frozenset({'Item Purchased (name)_Jacket', 'Promo Code Used (name)_Yes', 'Purchase Intent Category (name)_Impulsive'})",0.03338278931750742,0.05637982195845697,0.030415430267062313,0.9111111111111111,16.160233918128654,1.0,0.028533314548864566,10.615727002967358,0.9705183160810886,0.5125000000000001,0.9058001397624039,0.7252923976608188,4,1348,41
"frozenset({'Gender (name)_Male', 'Location (name)_Kenya', 'Discount Applied (name)_Yes'})","frozenset({'Item Purchased (name)_Jacket', 'Promo Code Used (name)_Yes', 'Frequency of Purchases (name)_Every 3 Months', 'Purchase Intent Category (name)_Impulsive'})",0.03338278931750742,0.05637982195845697,0.030415430267062313,0.9111111111111111,16.160233918128654,1.0,0.028533314548864566,10.615727002967358,0.9705183160810886,0.5125000000000001,0.9058001397624039,0.7252923976608188,4,1348,41
"frozenset({'Promo Code Used (name)_Yes', 'Location (name)_Kenya', 'Discount Applied (name)_Yes'})","frozenset({'Gender (name)_Male', 'Item Purchased (name)_Jacket', 'Frequency of Purchases (name)_Every 3 Months', 'Purchase Intent Category (name)_Impulsive'})",0.03338278931750742,0.05637982195845697,0.030415430267062313,0.9111111111111111,16.160233918128654,1.0,0.028533314548864566,10.615727002967358,0.9705183160810886,0.5125000000000001,0.9058001397624039,0.7252923976608188,4,1348,41
